original_address,lat,lon,formatted,name,housenumber,street,district,suburb,postcode,city,county,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
1 Cardinals Drive,33.529115,-112.264551,"1 Cardinals Drive, Glendale, AZ 85305, United States of America",,1,Cardinals Drive,,,85305,Glendale,Maricopa County,Arizona,AZ,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3333 Al Davis Way,36.09083455,-115.18343206671804,"Allegiant Stadium, 3333 Al Davis Way, Las Vegas, NV 89118, United States of America",Allegiant Stadium,3333,Al Davis Way,,,89118,Las Vegas,Clark County,Nevada,NV,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1 AT&T Way,41.735141150000004,-86.33330521984945,"1 AT&T Way, South Bend, IN 46628, United States of America",,1,AT&T Way,,,46628,South Bend,Saint Joseph County,Indiana,IN,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4201 North Dale Mabry Highway,27.977898,-82.505391,"4201 North Dale Mabry Highway, Tampa, FL 33607, United States of America",,4201,North Dale Mabry Highway,,,33607,Tampa,Hillsborough County,Florida,FL,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1 NRG Parkway,29.686893,-95.40643,"1 NRG Parkway, Houston, TX 77054, United States of America",,1,NRG Parkway,,Astrodome,77054,Houston,Harris County,Texas,TX,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1 AMB Drive Northwest,33.754393,-84.402373,"AMB Drive Northwest, Atlanta, GA, United States of America",,,AMB Drive Northwest,,,,Atlanta,Fulton County,Georgia,GA,United States,us,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1 Titans Way,36.166925,-86.773933,"1 Titans Way, Nashville-Davidson, TN 37213, United States of America",,1,Titans Way,,East Nashville,37213,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1020 Pattison Avenue,39.90442156434831,-75.16669127212431,"1020 Pattison Avenue, Philadelphia, PA 19148, United States of America",,1020,Pattison Avenue,,South Philadelphia,19148,Philadelphia,Philadelphia County,Pennsylvania,PA,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1 MetLife Stadium Drive,29.621694,-95.646162,"1 Stadium Drive, Sugar Land, TX 77498, United States of America",,1,Stadium Drive,,,77498,Sugar Land,Fort Bend County,Texas,TX,United States,us,0.6666666666666667,© OpenAddresses contributors,BSD-3-Clause License,
1410 Special Olympics Drive,41.86469076992003,-87.61415581207528,"1410 South Special Olympics Drive, Chicago, IL 60605, United States of America",,1410,South Special Olympics Drive,,Near South Side,60605,Chicago,Cook County,Illinois,IL,United States,us,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2000 Brush Street,42.338967,-83.046637,"2000 Brush Street, Detroit, MI 48201, United States of America",,2000,Brush Street,Douglass,Midtown,48201,Detroit,Wayne County,Michigan,MI,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
100 Art Rooney Avenue,40.446688,-80.0140153,"Art Rooney Avenue, Pittsburgh, PA 15290, United States of America",Art Rooney Avenue,,Art Rooney Avenue,North Shore,,15290,Pittsburgh,Allegheny County,Pennsylvania,PA,United States,us,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1 Paycor Stadium,39.0954645,-84.5160488350198,"Paycor Stadium, 1 West Pete Rose Way, Cincinnati, OH 45203, United States of America",Paycor Stadium,1,West Pete Rose Way,West Fourth Street Historic District,Central Business District,45203,Cincinnati,Hamilton County,Ohio,OH,United States,us,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1 Arrowhead Drive,41.50531145,-72.13214400437317,"1 Arrowhead Drive, Norwich, CT 06360, United States of America",,1,Arrowhead Drive,,,06360,Norwich,Southeastern Connecticut Planning Region,Connecticut,CT,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1701 Mile High Stadium Circle	,39.745981,-105.019068,"1701 Mile High Stadium Circle, Denver, CO 80204, United States of America",,1701,Mile High Stadium Circle,Jefferson Park,,80204,Denver,,Colorado,CO,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
800 Occidental Avenue South,47.5962649,-122.3316439,"800 Occidental Avenue South, Seattle, WA 98134, United States of America",,800,Occidental Avenue South,,International District/Chinatown,98134,Seattle,King County,Washington,WA,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1001 South Stadium Drive,34.765211,-96.661227,"1001 South Stadium Drive, Ada, OK 74820, United States of America",,1001,South Stadium Drive,,,74820,Ada,Pontotoc County,Oklahoma,OK,United States,us,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright